,date,usage.x,usage.y
1,2020-11-25 11:00:00,0.747,3.30215
2,2020-11-25 12:00:00,0.481,3.4182
3,2020-11-25 13:00:00,0.304,1.71965
4,2020-11-25 14:00:00,0.27,2.2577
5,2020-11-25 15:00:00,0.312,6.31945
6,2020-11-25 16:00:00,0.167,0.7596
7,2020-11-25 17:00:00,0.135,0.6963
8,2020-11-25 18:00:00,0.07,0
9,2020-11-25 19:00:00,0.29,0
10,2020-11-25 20:00:00,0.414,0
11,2020-11-25 21:00:00,0.606,0
12,2020-11-25 22:00:00,0.304,0
13,2020-11-25 23:00:00,0.137,0
14,2020-11-26 00:00:00,0.231,8.4822
15,2020-11-26 01:00:00,0.18,7.4905
16,2020-11-26 02:00:00,0.128,8.5033
17,2020-11-26 03:00:00,0.069,0.0844
18,2020-11-26 04:00:00,0.037,0.0633
19,2020-11-26 05:00:00,0.189,0.0633
20,2020-11-26 06:00:00,0.461,1.95175
21,2020-11-26 07:00:00,0.401,9.9381
22,2020-11-26 08:00:00,0.332,5.34885
23,2020-11-26 09:00:00,0.405,6.2456
24,2020-11-26 10:00:00,0.268,5.1273
25,2020-11-26 11:00:00,0.329,5.79195
26,2020-11-26 12:00:00,0.312,4.5576
27,2020-11-26 13:00:00,0.31,4.73695
28,2020-11-26 14:00:00,0.375,4.7264
29,2020-11-26 15:00:00,0.262,4.82135
30,2020-11-26 16:00:00,0.291,2.8485
31,2020-11-26 17:00:00,0.106,0.17935
32,2020-11-26 18:00:00,0.074,0.3587
33,2020-11-26 19:00:00,0.134,0
34,2020-11-26 20:00:00,0.516,0
35,2020-11-26 21:00:00,0.102,0
36,2020-11-26 22:00:00,0.589,0
37,2020-11-26 23:00:00,0.078,0
38,2020-11-27 00:00:00,0.106,10.09635
39,2020-11-27 01:00:00,0.517,4.23055
40,2020-11-27 02:00:00,0.922,9.3051
41,2020-11-27 03:00:00,0.382,4.0301
42,2020-11-27 04:00:00,0.348,4.52595
43,2020-11-27 05:00:00,0.408,4.77915
44,2020-11-27 06:00:00,0.403,5.55985
