date,usages.x,usages.y,usage,daynight
2020-11-25T11:00:00Z,0,747,747,1
2020-11-25T12:00:00Z,0,481,481,1
2020-11-25T13:00:00Z,0,304,304,1
2020-11-25T14:00:00Z,0,270,270,1
2020-11-25T15:00:00Z,0,312,312,1
2020-11-25T16:00:00Z,0,167,167,1
2020-11-25T17:00:00Z,135,0,135,1
2020-11-25T18:00:00Z,70,0,70,1
2020-11-25T19:00:00Z,290,0,290,1
2020-11-25T20:00:00Z,414,0,414,1
2020-11-25T21:00:00Z,606,0,606,1
2020-11-25T22:00:00Z,304,0,304,0
2020-11-25T23:00:00Z,137,0,137,0
2020-11-26T00:00:00Z,231,0,231,0
2020-11-26T01:00:00Z,1,179,180,0
2020-11-26T02:00:00Z,0,128,128,0
2020-11-26T03:00:00Z,0,69,69,0
2020-11-26T04:00:00Z,0,37,37,0
2020-11-26T05:00:00Z,0,189,189,0
2020-11-26T06:00:00Z,0,461,461,1
2020-11-26T07:00:00Z,0,401,401,1
2020-11-26T08:00:00Z,0,332,332,1
2020-11-26T09:00:00Z,0,405,405,1
2020-11-26T10:00:00Z,0,268,268,1
2020-11-26T11:00:00Z,0,329,329,1
2020-11-26T12:00:00Z,0,312,312,1
2020-11-26T13:00:00Z,0,310,310,1
2020-11-26T14:00:00Z,0,375,375,1
2020-11-26T15:00:00Z,0,262,262,1
2020-11-26T16:00:00Z,0,291,291,1
2020-11-26T17:00:00Z,105,1,106,1
2020-11-26T18:00:00Z,74,0,74,1
2020-11-26T19:00:00Z,134,0,134,1
2020-11-26T20:00:00Z,516,0,516,1
2020-11-26T21:00:00Z,102,0,102,1
2020-11-26T22:00:00Z,589,0,589,0
2020-11-26T23:00:00Z,78,0,78,0
2020-11-27T00:00:00Z,106,0,106,0
2020-11-27T01:00:00Z,1,516,517,0
2020-11-27T02:00:00Z,0,922,922,0
2020-11-27T03:00:00Z,0,382,382,0
2020-11-27T04:00:00Z,0,348,348,0
2020-11-27T05:00:00Z,0,408,408,0
2020-11-27T06:00:00Z,0,403,403,1
2020-11-27T07:00:00Z,0,753,753,1
2020-11-27T08:00:00Z,0,1626,1626,1
2020-11-27T09:00:00Z,0,327,327,1
2020-11-27T10:00:00Z,0,352,352,1
2020-11-27T11:00:00Z,0,433,433,1
2020-11-27T12:00:00Z,0,598,598,1
2020-11-27T13:00:00Z,0,711,711,1
2020-11-27T14:00:00Z,0,357,357,1
2020-11-27T15:00:00Z,0,357,357,1
2020-11-27T16:00:00Z,0,237,237,1
2020-11-27T17:00:00Z,78,1,79,1
2020-11-27T18:00:00Z,65,0,65,1
2020-11-27T19:00:00Z,573,0,573,1
2020-11-27T20:00:00Z,71,0,71,1
2020-11-27T21:00:00Z,537,0,537,1
2020-11-27T22:00:00Z,104,0,104,0
2020-11-27T23:00:00Z,44,0,44,0
2020-11-28T00:00:00Z,146,0,146,0
2020-11-28T01:00:00Z,0,215,215,0
2020-11-28T02:00:00Z,0,622,622,0
2020-11-28T03:00:00Z,0,488,488,0
2020-11-28T04:00:00Z,0,896,896,0
2020-11-28T05:00:00Z,0,328,328,0
2020-11-28T06:00:00Z,0,503,503,1
2020-11-28T07:00:00Z,0,420,420,1
2020-11-28T08:00:00Z,0,1117,1117,1
2020-11-28T09:00:00Z,0,1687,1687,1
2020-11-28T10:00:00Z,0,458,458,1
2020-11-28T11:00:00Z,0,337,337,1
2020-11-28T12:00:00Z,0,346,346,1
2020-11-28T13:00:00Z,0,418,418,1
2020-11-28T14:00:00Z,0,287,287,1
2020-11-28T15:00:00Z,0,287,287,1
2020-11-28T16:00:00Z,0,271,271,1
2020-11-28T17:00:00Z,140,1,141,1
2020-11-28T18:00:00Z,102,0,102,1
2020-11-28T19:00:00Z,108,0,108,1
2020-11-28T20:00:00Z,533,0,533,1
2020-11-28T21:00:00Z,296,0,296,1
2020-11-28T22:00:00Z,392,0,392,0
2020-11-28T23:00:00Z,39,0,39,0
2020-11-29T00:00:00Z,167,0,167,0
2020-11-29T01:00:00Z,243,0,243,0
2020-11-29T02:00:00Z,306,0,306,0
2020-11-29T03:00:00Z,675,0,675,0
2020-11-29T04:00:00Z,588,0,588,0
2020-11-29T05:00:00Z,2072,0,2072,0
2020-11-29T06:00:00Z,594,0,594,1
2020-11-29T07:00:00Z,524,0,524,1
2020-11-29T08:00:00Z,476,0,476,1
2020-11-29T09:00:00Z,347,0,347,1
2020-11-29T10:00:00Z,1817,0,1817,1
2020-11-29T11:00:00Z,636,0,636,1
2020-11-29T12:00:00Z,648,0,648,1
2020-11-29T13:00:00Z,236,0,236,1
2020-11-29T14:00:00Z,285,0,285,1
2020-11-29T15:00:00Z,251,0,251,1
2020-11-29T16:00:00Z,234,0,234,1
2020-11-29T17:00:00Z,90,0,90,1
